,MOD ZCTA,Population,Population_from_NYCHealth,Sample Count,Black or Black and other races,White,Median Income,Median Family Income,Median Age,Average Unit Size,NH/ACF Deaths,COVID Case Count,COVID Death Count,Total COVID Tests,Percent Positive,Death Rate,Case Rate,Borough,Neighborhood Name,Deaths less NH/ACF Deaths
93,11206,76978.0,85496.61,7300.0,1118.0,44686.0,22545.0,56168.0,34.7,3.261641455870510,3.0,1621,148,7936,0.20425907258064500,0.0019226272441476800,0.021057964613266100,Brooklyn,Williamsburg (South),145.0
94,11207,46064.0,89156.75,3500.0,15686.0,22570.0,29349.0,59314.0,29.8,2.8270529029090500,0.0,2109,201,8444,0.24976314542870700,0.0043634942688433500,0.04578412643278920,Brooklyn,Cypress Hills/East New York,201.0
95,11208,88349.0,95607.69,5700.0,25356.0,41715.0,21869.0,34951.0,29.3,2.8461117196057000,0.0,2401,225,8711,0.27562851566984300,0.002546718129237460,0.02717631212577390,Brooklyn,Cypress Hills/East New York,225.0
96,11209,91972.0,67081.12,6600.0,60644.0,13372.0,22579.0,47032.0,34.1,2.7669073405535500,33.0,1143,109,6691,0.17082648333582400,0.0011851433044839700,0.012427695385552100,Brooklyn,Bay Ridge/Fort Hamilton,76.0
97,11210,98660.0,67089.29,6500.0,54888.0,25549.0,27087.0,48487.0,32.5,3.065784158354310,23.0,1711,135,6692,0.2556784219964140,0.0013683356983580000,0.017342387999189100,Brooklyn,Flatlands/Midwood,112.0
98,11211,67809.0,99594.67,6200.0,2916.0,50050.0,41450.0,97345.0,40.6,2.3145373246407500,0.0,2097,127,11621,0.18044918681696900,0.0018729077261130500,0.03092509843826040,Brooklyn,East Williamsburg/Williamsburg (North)/Williamsburg (South),127.0
99,11212,67040.0,79589.99,5800.0,40155.0,20877.0,34187.0,75151.0,35.6,3.0107333722549100,0.0,1898,219,7675,0.24729641693811100,0.003266706443914080,0.02831145584725540,Brooklyn,Ocean Hill-Brownsville,219.0
100,11213,102624.0,64425.94,6800.0,8084.0,76620.0,40122.0,60044.0,30.7,2.6057282145033500,0.0,1414,136,6081,0.2325275448117090,0.0013252260679763000,0.013778453383224200,Brooklyn,Crown Heights (East),136.0
101,11214,76527.0,93333.46,4700.0,63695.0,5487.0,17869.0,40188.0,37.6,2.432981496788960,44.0,1550,176,7419,0.2089230354495220,0.002299841885870350,0.020254289335790000,Brooklyn,Bath Beach/Bensonhurst/Gravesend,132.0
102,11215,66295.0,69932.3,4500.0,46001.0,14869.0,25107.0,47055.0,33.4,2.64893914572262,7.0,626,44,5045,0.12408325074331000,0.0006637001282147980,0.009442642733237800,Brooklyn,Gowanus/Park Slope/Windsor Terrace,37.0
103,11216,92946.0,55537.72,7900.0,1660.0,45769.0,24651.0,61799.0,39.6,2.9106566874393300,119.0,740,71,4449,0.1663295122499440,0.0007638844059991820,0.007961612118864720,Brooklyn,Bedford-Stuyvesant (West)/Crown Heights (West),-48.0
