zip_code_ta,Population,Sample Count,Black or Black and other race,White,Median Income,Median Family Income In The Past 12 Months,Black alone,Median Age,Housing Units,Average Unit Size,Density (persons per square mile)
11223,81789.0,7000.0,4443.0,46811.0,23522.0,60560.0,3886.0,36.5,27958.0,2.9254238500608100,37960.94503
11224,46707.0,3000.0,11121.0,27137.0,17600.0,43416.0,10495.0,45.5,18725.0,2.494365821094790,30862.605310000000
11225,58882.0,3300.0,38536.0,16038.0,31933.0,62400.0,37614.0,34.8,24105.0,2.442729724123630,64286.1991
11226,100277.0,6100.0,69703.0,15288.0,29366.0,58387.0,68415.0,34.7,36733.0,2.7298886559769100,78799.06905
11228,44994.0,5300.0,692.0,25047.0,29294.0,80352.0,521.0,41.1,15306.0,2.9396315170521400,28427.210880000000
11229,83615.0,8300.0,5488.0,54043.0,31259.0,75945.0,4985.0,40.8,30946.0,2.7019647127253900,37062.52895
11230,89075.0,8100.0,6909.0,62333.0,25425.0,62448.0,6328.0,33.8,30572.0,2.913613764228710,46960.869570000000
11231,37845.0,2700.0,6013.0,24939.0,56835.0,139857.0,5262.0,35.9,15702.0,2.410202521971720,23443.037970000000
11232,27602.0,2100.0,2467.0,11391.0,26635.0,52764.0,1772.0,33.8,8812.0,3.1323195642305900,21996.10895
11233,76819.0,4800.0,61749.0,6731.0,28652.0,46037.0,60526.0,33.0,29345.0,2.617788379621740,49742.5816
11234,95666.0,9200.0,44625.0,39753.0,36065.0,90864.0,43831.0,40.3,31835.0,3.0050573268415300,11629.605090000000
11235,78128.0,6000.0,2303.0,58754.0,27444.0,68446.0,2011.0,45.1,32269.0,2.421147231088660,35232.41318
11236,100331.0,9000.0,87662.0,5879.0,33928.0,79301.0,86679.0,37.9,33282.0,3.0145724415600000,26113.2128
11237,49310.0,3200.0,7451.0,20736.0,26552.0,40428.0,6670.0,30.3,16740.0,2.9456391875746700,50914.285710000000
11238,54540.0,4000.0,22012.0,25308.0,50142.0,105246.0,20521.0,35.8,24547.0,2.2218601051044900,44540.68716
11239,13244.0,550.0,8166.0,4057.0,18092.0,40922.0,7991.0,46.8,6764.0,1.958013010053220,22933.21918
11351,0.0,0.0,0.0,0.0,-666666666.0,-666666666.0,0.0,-666666666.0,0.0,0,0.0
11354,55200.0,3700.0,2134.0,11472.0,22098.0,49493.0,1775.0,45.5,20112.0,2.7446300715990500,25324.411630000000
11355,80853.0,5500.0,3413.0,10683.0,20942.0,42758.0,2748.0,42.8,27606.0,2.9288198217778700,49379.52846
11356,23362.0,1700.0,496.0,8389.0,30741.0,64495.0,419.0,37.1,7453.0,3.1345766805313300,14919.159770000000
11357,39902.0,2900.0,508.0,27972.0,36868.0,93862.0,259.0,45.5,14515.0,2.7490182569755400,13977.15102
11358,37190.0,4000.0,585.0,15507.0,32348.0,75756.0,352.0,43.9,13042.0,2.85155650973777,19264.23807
11359,0.0,0.0,0.0,0.0,-666666666.0,-666666666.0,0.0,-666666666.0,0.0,0,0.0
11360,19621.0,1400.0,313.0,12199.0,48401.0,106151.0,196.0,48.5,8583.0,2.2860305254573000,13141.266530000000
11361,27246.0,3000.0,1248.0,13252.0,39358.0,95567.0,1036.0,43.3,10026.0,2.717534410532620,16271.89989
11362,18721.0,1200.0,405.0,9308.0,42370.0,105685.0,176.0,49.4,7151.0,2.6179555306950100,7103.626943000000
11363,6952.0,550.0,146.0,4124.0,50866.0,125907.0,124.0,47.8,2661.0,2.612551672303650,8041.426928
11364,36806.0,2900.0,1194.0,14708.0,40369.0,92310.0,962.0,44.8,13554.0,2.7155083370222800,13995.54475
11365,44983.0,2600.0,4254.0,15033.0,30716.0,75024.0,3815.0,40.8,15571.0,2.8888960246612300,16921.105330000000
11366,14650.0,1200.0,829.0,6295.0,31675.0,90026.0,768.0,40.6,4633.0,3.1620979926613400,12357.99087
11367,41824.0,2600.0,3930.0,23407.0,30023.0,64438.0,3526.0,36.4,14580.0,2.8685871056241400,17275.6734
11368,112425.0,6300.0,12777.0,42338.0,21905.0,48245.0,11805.0,32.4,28502.0,3.9444600378920800,41767.09726
11369,34118.0,3300.0,6112.0,9834.0,25773.0,61875.0,5546.0,38.3,10294.0,3.314357878375750,35854.2247
11370,32514.0,2700.0,5064.0,13704.0,28123.0,79861.0,4869.0,37.5,7993.0,4.067809333166520,27239.53329
11371,0.0,0.0,0.0,0.0,-666666666.0,-666666666.0,0.0,-666666666.0,0.0,0,0.0
11372,61844.0,2700.0,2435.0,35443.0,30999.0,59083.0,1973.0,40.5,23814.0,2.596959771562950,90415.19674
11373,93967.0,6200.0,2472.0,20359.0,25317.0,54873.0,2003.0,38.2,30285.0,3.1027571404986000,66154.85564
11374,42653.0,3000.0,2345.0,22481.0,38072.0,82615.0,1881.0,43.8,19416.0,2.1967964565307000,46481.87633
11375,73488.0,5400.0,3444.0,44651.0,50363.0,103712.0,2008.0,42.7,32857.0,2.236601028700130,34713.636360000000
11377,86421.0,6000.0,2812.0,42254.0,30227.0,60870.0,2299.0,40.0,31400.0,2.7522611464968200,35324.41998
11378,37279.0,3800.0,1047.0,26836.0,34100.0,84646.0,635.0,37.7,12604.0,2.957711837511900,13648.458840000000
11379,37851.0,3700.0,730.0,29559.0,38713.0,99488.0,367.0,42.7,13504.0,2.8029472748815200,16781.20482
11385,106717.0,8100.0,3222.0,87155.0,34339.0,73624.0,2415.0,35.4,35126.0,3.038119911176910,27288.126210000000
11411,20759.0,2400.0,19475.0,699.0,37369.0,106230.0,19233.0,44.2,6270.0,3.3108452950558200,15873.396070000000
11412,37458.0,3800.0,34470.0,661.0,33009.0,89179.0,33702.0,40.5,11039.0,3.393242141498320,21191.98056
11413,42443.0,3600.0,39730.0,987.0,35915.0,92219.0,39084.0,39.8,12356.0,3.435011330527680,12552.25806
11414,29219.0,1200.0,1289.0,22761.0,34630.0,86406.0,556.0,45.0,10680.0,2.7358614232209700,11368.69565
11415,19372.0,1600.0,1364.0,11415.0,41286.0,77634.0,1039.0,38.9,8379.0,2.311970402195970,34051.056340000000
11416,27125.0,2800.0,2252.0,7440.0,26470.0,70703.0,1705.0,35.6,7217.0,3.7584869059165900,37328.82883
11417,31927.0,3000.0,3159.0,11426.0,29900.0,78627.0,2362.0,38.3,9060.0,3.523951434878590,25886.50581
11418,38517.0,3700.0,3674.0,15641.0,27398.0,66176.0,2829.0,35.1,10938.0,3.5213933077345000,22202.08206
11419,49618.0,4700.0,9465.0,4991.0,26605.0,72995.0,8140.0,37.0,12479.0,3.9761198814007500,41816.6519
11420,48489.0,4300.0,13606.0,7399.0,27552.0,72876.0,11883.0,39.2,13159.0,3.684854472224330,21344.56208
11421,41002.0,3800.0,2863.0,18122.0,28440.0,77034.0,1921.0,37.8,11638.0,3.523113937102600,30378.10559
11422,32082.0,2300.0,27832.0,1759.0,37054.0,95394.0,27335.0,38.4,9653.0,3.323526364860670,15342.914780000000
11423,31400.0,2600.0,13012.0,4070.0,30862.0,82727.0,12198.0,40.8,9787.0,3.2083375906815200,21252.303330000000
11424,0.0,0.0,0.0,0.0,-666666666.0,-666666666.0,0.0,-666666666.0,0.0,0,0.0
11425,0.0,0.0,0.0,0.0,-666666666.0,-666666666.0,0.0,-666666666.0,0.0,0,0.0
11426,20801.0,1500.0,1573.0,8083.0,40693.0,101670.0,1379.0,38.6,6356.0,3.2726557583385800,13000.7391
11427,24037.0,2200.0,5310.0,7047.0,32027.0,91302.0,4979.0,42.0,7500.0,3.2049333333333300,14941.73528
11428,18929.0,1900.0,4770.0,4295.0,30895.0,80833.0,3982.0,40.8,5558.0,3.405721482547680,23010.80432
11429,27403.0,2300.0,21302.0,964.0,30332.0,91303.0,20884.0,39.0,7340.0,3.7333787465940100,19281.87404
11430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11432,62053.0,5600.0,11039.0,11857.0,25935.0,59914.0,9931.0,36.0,18547.0,3.34571628834852,28296.41694
11433,36489.0,2700.0,24254.0,1432.0,24730.0,61392.0,23459.0,35.0,10519.0,3.4688658617739300,21061.21134
11434,65791.0,4500.0,58341.0,1927.0,31243.0,77150.0,57595.0,37.9,21462.0,3.065464541981180,18260.96356
11435,59296.0,4300.0,14940.0,10038.0,28991.0,66703.0,14016.0,35.8,18874.0,3.1416763802055700,35436.9637
11436,20077.0,2100.0,12945.0,1132.0,30675.0,77792.0,12389.0,36.9,5581.0,3.5973839813653500,22749.049430000000
11451,0.0,0.0,0.0,0.0,-666666666.0,-666666666.0,0.0,-666666666.0,0.0,0,0.0
11691,67094.0,3200.0,32786.0,26121.0,25151.0,58411.0,31425.0,31.1,20594.0,3.2579392055938600,21183.8391
11692,20991.0,1300.0,12998.0,4745.0,24032.0,47530.0,12782.0,34.2,6815.0,3.0801173881144500,18558.558560000000
11693,12919.0,850.0,2914.0,8174.0,32794.0,68529.0,2571.0,39.5,4845.0,2.6664602683178500,11951.85557
11694,21354.0,1700.0,1522.0,17362.0,42139.0,110469.0,1449.0,48.5,8468.0,2.521728861596600,14939.97072
11697,3540.0,300.0,21.0,3378.0,44786.0,128833.0,21.0,49.1,1365.0,2.5934065934065900,1837.3873870000000
