,ZCTA,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,zip_code_ta,Population,Sample Count,Black or Black and other race,White,Median Income,Median Family Income In The Past 12 Months,Black alone,Median Age,Housing Units,Average Unit Size,Density (persons per square mile),Confirmed NH/ACF Deaths,Presumed NH/ACF Deaths,NH/ACF Deaths
60,10173,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,10173.0,0.0,0.0,0.0,0.0,-666666666.0,-666666666.0,0.0,-666666666.0,0.0,,400.0,0,0,0
61,10174,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,10174.0,0.0,0.0,0.0,0.0,-666666666.0,-666666666.0,0.0,-666666666.0,0.0,,0.0,0,0,0
62,10177,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,10177.0,0.0,0.0,0.0,0.0,-666666666.0,-666666666.0,0.0,-666666666.0,0.0,,0.0,0,0,0
63,10199,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,10199.0,148.0,,0.0,70.0,-666666666.0,-666666666.0,0.0,23.6,55.0,2.6909090909090905,346.1538462,0,0,0
64,10271,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,10271.0,0.0,0.0,0.0,0.0,-666666666.0,-666666666.0,0.0,-666666666.0,0.0,,0.0,0,0,0
65,10278,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,10278.0,0.0,0.0,0.0,0.0,-666666666.0,-666666666.0,0.0,-666666666.0,0.0,,0.0,0,0,0
66,10279,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,10279.0,43.0,,0.0,43.0,-666666666.0,-666666666.0,0.0,-666666666.0,18.0,2.3888888888888893,0.0,0,0,0
67,10280,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,10280.0,9384.0,450.0,330.0,7360.0,105321.0,212279.0,184.0,38.1,4560.0,2.057894736842105,63330.64516,0,0,0
68,10282,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,10282.0,5593.0,300.0,61.0,4153.0,147538.0,250001.0,61.0,35.3,2231.0,2.5069475571492603,69318.84057999999,0,0,0
69,10301,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,10301.0,38733.0,3200.0,11640.0,22280.0,30868.0,74412.0,9668.0,38.2,14489.0,2.673269376768583,10819.07357,9,60,69
70,10302,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,10302.0,18204.0,1300.0,4029.0,11286.0,32679.0,85781.0,3754.0,34.9,6149.0,2.9604813790860303,15986.59966,0,0,0
71,10303,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,10303.0,25947.0,1800.0,9784.0,11406.0,30820.0,67360.0,9170.0,33.1,8156.0,3.1813388916135357,8395.600893,0,0,0
72,10304,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,10304.0,41064.0,2400.0,11936.0,21403.0,28509.0,73592.0,11277.0,38.1,14172.0,2.897544453852668,10888.51613,62,36,98
73,10305,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,10305.0,42298.0,3100.0,3239.0,31174.0,36477.0,89040.0,2770.0,39.5,14663.0,2.884675714383141,9818.673565,0,0,0
74,10306,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,10306.0,53142.0,3800.0,2597.0,45560.0,38658.0,93895.0,1775.0,43.9,20007.0,2.6561703403808665,7481.466613,1,29,30
